OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
1e-07	0.177723	0.0891492	0.376265	0.260368	0.354378	0.18768800000000002	0.276817	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.48299200000000003	0.19025999999999998	0.182997	0.21965300000000001	0.51208	nan	0.198988	nan	0.164324	0.0585312
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	0.202251	0.45261599999999996	0.164027	0.25450500000000004	nan	0.253116	0.231402	0.0426853	0.0424646
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
0.04989469999999999	1e-07	0.237956	nan	nan	0.21965300000000001	0.17023	0.231402	1e-07	0.134856
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.189297	1e-07	nan	0.160136	0.384355	1e-07	nan	0.030708799999999998	0.241958	0.45069
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.200035	0.0136099	nan	nan	0.16384300000000002	0.249383	0.206423	0.45082700000000003	0.28197300000000003	0.06742089999999999
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	0.14371	0.05325409999999999	0.501059	0.253116	0.22381199999999998	0.268547	0.203549	0.365085
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
0.21182600000000001	nan	1e-07	0.21965300000000001	0.169285	0.121233	0.0454954	nan	0.256682	0.11748900000000001
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.200787	0.190156	0.08013250000000001	nan	nan	0.10231	0.0410478	0.253116	0.47225600000000006	0.154549
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
0.21182600000000001	0.0721665	1e-07	nan	0.21409099999999998	nan	0.169285	0.149351	0.524875	nan
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
0.164027	0.501059	0.042229	nan	nan	0.16384300000000002	0.22381199999999998	0.11717000000000001	0.24138	0.149094
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
nan	0.535747	nan	0.251282	0.138282	0.231402	0.24714699999999998	0.265491	0.07017539999999999	0.11231300000000001
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
0.199795	nan	nan	0.46099799999999996	0.265392	0.17023	0.256838	0.51208	0.0895903	0.16281600000000002
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
0.21182600000000001	nan	nan	0.146757	0.500854	0.208182	nan	0.13936400000000002	0.0375194	0.238267
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
nan	0.0403036	0.190156	0.25855900000000004	0.347041	0.263156	0.127584	nan	0.101865	0.179679
