OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
nan	-3.3543167844286748	nan	-1.8401125212694995	nan
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
nan	nan	nan	nan	-1.63464340296952
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
nan	nan	nan	nan	-1.2494792448176701
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
-3.2515387669959646	nan	nan	nan	-1.8884344550404824
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
-2.0034666297197794	nan	nan	-1.7269019108215087	nan
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
nan	nan	-1.9293358992212104	nan	-1.8709148519433896
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
nan	nan	-1.340440727089101	nan	nan
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
nan	nan	nan	-1.2129019183889953	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
nan	nan	nan	-2.67853364140747	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
-1.4896456591863865	-1.7784322114615907	nan	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
-2.402778731599688	nan	-1.4908615842822894	-0.43693951723612684	nan
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
-1.3819493299466563	-13.287712379549449	nan	nan	nan
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	nan	nan	nan	-1.7734914701913203
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
nan	nan	-1.505942867686318	nan	nan
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	nan	nan	-1.3264435760098554	-1.9323612831246366
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
nan	-1.4866103224031586	-2.1090475285429777	nan	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	-1.6386807984427838	-1.3934630166852189	nan	nan
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
-1.7863727614880525	nan	nan	nan	nan
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
nan	nan	-1.4779442508390357	nan	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
nan	nan	nan	-1.6999348632212392	nan
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
-1.8023861903089258	nan	nan	-1.4779442508390357	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
nan	nan	nan	nan	-1.4281775931667966
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
-1.106560122683883	nan	nan	nan	nan
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
-1.106560122683883	nan	nan	nan	nan
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
nan	-1.6086721931563888	nan	nan	nan
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
-2.1405074546072207	nan	-1.9293358992212104	nan	nan
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	-1.2655179777888146	nan	-0.43693951723612684	nan
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
nan	-1.795358434389579	nan	nan	nan
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
nan	nan	-1.6508612229229156	nan	nan
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
nan	-1.2129019183889953	nan	nan	nan
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
-1.4896456591863865	nan	nan	nan	nan
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
nan	nan	-1.5583040625654305	nan	nan
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
nan	-1.4896456591863865	nan	-1.5576668766702486	-1.7680761267062368
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
nan	-1.1778817252706555	nan	-3.2515387669959646	nan
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
-1.106560122683883	nan	nan	nan	-1.8463243502027624
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
nan	-0.8437328369481963	-1.3415371388258908	-1.6386807984427838	nan
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
nan	-1.7612131404128835	-1.2383743077975167	nan	nan
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
nan	nan	nan	-1.4281775931667966	nan
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
nan	nan	nan	-1.4281775931667966	nan
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
-1.4552178952133372	nan	nan	nan	nan
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
-1.6386807984427838	nan	nan	nan	nan
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
nan	nan	nan	-1.8023861903089258	nan
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
nan	-1.711228032752598	nan	nan	nan
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
nan	-1.4896456591863865	nan	-4.7688625508417575	nan
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
nan	nan	nan	-1.4449691988177917	nan
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
nan	nan	nan	nan	-1.2655179777888146
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
-1.0935711406863138	nan	nan	nan	nan
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
-3.4879450838802413	-2.1909972250609138	nan	nan	nan
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
-3.4879450838802413	nan	nan	-0.333334289405402	nan
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
-1.4540316308947074	nan	nan	nan	nan
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
nan	nan	nan	nan	-1.4449691988177917
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
nan	-2.034160316911986	-2.1360615495760285	nan	nan
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
nan	-1.68362251808027	nan	-1.8365012677171206	nan
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
nan	nan	-1.02591127235414	nan	nan
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
nan	nan	nan	nan	-3.2529134169721816
OG0044197.0	OG0024570.0	OG0007411.0	OG0007822.0	OG0000147.0
nan	nan	-1.5687514675652392	nan	-3.2529134169721816
OG0037838.0	OG0000014.1	OG0010773.2	OG0003661.0	OG0011718.13
nan	-1.4779442508390357	nan	nan	nan
OG0004758.4	OG0000092.1	OG0017484.2	OG0044086.0	OG0009267.0
nan	-1.795358434389579	nan	nan	-1.5576668766702486
OG0045023.0	OG0000204.2	OG0005854.2	OG0017964.4	OG0011459.1
nan	-1.6508612229229156	nan	nan	nan
OG0003189.0	OG0018431.0	OG0043618.0	OG0000584.0	OG0007146.0
nan	nan	nan	-2.034160316911986	-1.7607241741174424
OG0007539.0	OG0005384.1	OG0016889.0	OG0000001.2899	OG0007096.15
nan	nan	nan	-1.3360633936448298	nan
OG0000302.34	OG0019368.0	OG0043997.0	OG0004989.0	OG0003838.7
-1.68362251808027	nan	nan	nan	-3.037413961643117
OG0000750.0	OG0008528.0	OG0007191.0	OG0018953.5	OG0015753.2
-2.450873019800733	-1.8023861903089258	nan	nan	nan
OG0005696.4	OG0008225.6	OG0005823.9	OG0000272.36	OG0006650.0
