orthogroup	subset	gene	description	1021	WSM419	USDA1106	descriptions
OG0000000	OG0000000.405		ABC transporter ATP binding protein	1021_SMc01608	WSM419_Smed_2137		ABC transporter ATP-binding protein; polyamine ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000000	OG0000000.1528		ABC transporter ATP binding protein				ABC transporter ATP-binding protein; polyamine ABC transporter ATP-binding protein
OG0000000	OG0000000.4942		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.626	potG	ABC transporter ATP binding protein	1021_SMc00771	WSM419_Smed_0311		ABC transporter ATP-binding protein; polyamine ABC transporter ATP-binding protein; putrescine ABC transporter ATP-binding protein; spermidine/putrescine ABC transporter ATPase; spermidine/putrescine ABC transporter ATP-binding protein
OG0000000	OG0000000.1777		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.3448		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.3436		ABC transporter-like protein		WSM419_Smed_2694		ABC transporter-like protein
OG0000000	OG0000000.497		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.777	afuC,attA2	ABC trans port er ATP binding protein	1021_SM_b20281,1021_SM_b20363,1021_SM_b20380,1021_SMa0391,1021_SMa0953,1021_SMa1754,1021_SMa2207,1021_SMc01631,1021_SMc01653,1021_SMc04300	WSM419_Smed_0754,WSM419_Smed_1716,WSM419_Smed_1946,WSM419_Smed_2167,WSM419_Smed_2188,WSM419_Smed_2452,WSM419_Smed_3284,WSM419_Smed_3737,WSM419_Smed_3754,WSM419_Smed_3850,WSM419_Smed_4608,WSM419_Smed_6314		polyamine ABC transporter ATP-binding protein; PotA, ABC-type spermidine/putrescine transport system, ATPase component PotA; spermidine/putrescine ABC transporter ATP-binding protein; ABC transporter ATP-binding protein; AttA1-like ABC transporter ATP binding protein; spermidine/putrescine ABC transporter ATPase subunit; Fe(3+) ions import ATP-binding protein FbpC; iron ABC transporter ATP-binding protein; ABC transporter-like protein; spermidine/putrescine ABC transporter ATPase
OG0000000	OG0000000.619		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.3428	ugpC	sn glycerol 3 phosphate ABC transporter ATP binding protein UgpC				sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
OG0000000	OG0000000.1940		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.2590	ugpC	ABC transporter ATP bin ding protein	1021_SM_b21216,1021_SMc04256,1021_SMc04393	WSM419_Smed_1725,WSM419_Smed_3167,WSM419_Smed_4552		ABC transporter ATP-binding protein; sugar ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; ABC transporter-like protein; TOBE domain-containing protein; ATP-binding cassette domain-containing protein
OG0000000	OG0000000.1900		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.3890		ABC transporter ATP binding protein	1021_SM_b21592	WSM419_Smed_4913		ABC transporter ATP-binding protein; sugar uptake ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; sugar ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000000	OG0000000.305		ABC transporter ATP binding protein	1021_SMc01965	WSM419_Smed_2408		ABC transporter ATP-binding protein; spermidine/putrescine ABC transporter ATPase; spermidine/putrescine ABC transporter ATP-binding protein
OG0000000	OG0000000.1657		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.2172		ABC transporter ATP binding protein				ABC transporter ATP-binding protein; sugar ABC transporter ATP-binding protein
OG0000000	OG0000000.503		ABC transporter ATP binding protein				ABC transporter ATP-binding protein; polyamine ABC transporter ATP-binding protein
OG0000000	OG0000000.3729	ugpC	sn glycerol 3 phosphate ABC transporter ATP binding protein UgpC	1021_SM_b20235	WSM419_Smed_2311		ABC transporter ATP-binding protein; sugar ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; ABC transporter-like protein
OG0000000	OG0000000.1571		ABC transporter ATP binding protein	1021_SMa0803	WSM419_Smed_6246		ABC transporter ATP-binding protein; ABC transporter-like protein; spermidine/putrescine ABC transporter ATP-binding protein
OG0000000	OG0000000.169		ABC trans porter ATP binding protein	1021_SM_b21541,1021_SMc02068	WSM419_Smed_1163,WSM419_Smed_4878		ABC transporter ATP-binding protein; ABC transporter; ABC transporter-like protein; Fe(3+) ions import ATP-binding protein FbpC; iron ABC transporter ATP-binding protein
OG0000000	OG0000000.3	cysA,cysA1	sulf ate ABC transporter ATP binding protein	1021_SM_b21130,1021_SMa2067	WSM419_Smed_4541		sulfate ABC transporter ATP-binding protein; sulfate ABC transporter ATPase; sulfate/thiosulfate binding protein; sulfate/molybdate ABC transporter ATP-binding protein; sulfate/thiosulfate import ATP-binding protein CysA 1; sulfate/thiosulfate import ATP-binding protein CysA
OG0000000	OG0000000.3758		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.2196		ABC transporter AT P bin ding protein	1021_SMa1345	WSM419_Smed_4289,WSM419_Smed_5863		ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; sugar ABC transporter ATP-binding protein; MalK, ABC-type sugar transport systems, ATPase component MalK; ABC transporter-like protein; TOBE domain-containing protein
OG0000000	OG0000000.1743		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
