OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0001566.2
-0.512925319948276	-1.4131151871478154	-1.1587514286937521	-1.3375210295767486	-0.9018499789079885	-1.2039006722965686	-1.0540927027897475
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0000409.24	OG0000704.0	OG0004027.1
-0.8583056380354691	-1.1854085623368023	-0.5428785420499038	-0.7715199016700826	0.10447085776291738	-1.0273808609918476	-1.2199419221016254
OG0000606.2	OG0000001.1420	OG0001191.24	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
-0.6443071024337754	-0.01727103870140411	-1.2042330522176077	-2.043943347587597	-2.130365444186607	-1.7863727614880525	-1.9417527831453374	-0.9434164716336325
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0000263.57	OG0004807.4	OG0002138.0
-0.17266872938773947	-0.8596139677169436	-2.6447581560691176	-0.5872726614083572	0.818932344010497	-0.27003400255307203	-2.6038405109268457
OG0001734.7	OG0000056.0	OG0003610.0	OG0010606.0	OG0000044.1	OG0001402.24	OG0000512.25
-0.8246989660997565	0.25229454120183664	-0.5247075499634715	-1.2915920165164037	-0.6009930135276029	-0.588573754273535	-1.0667295284676728
OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
-0.7470999712999193	-0.3082871842179762	-0.22145497419719512	-1.0567912914115538	-2.67853364140747	-1.2598063829795652	-1.629947344284086	-0.3641991832410402
OG0000405.0	OG0007565.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
-0.8079321155203496	-1.050801268104847	-2.471528698117108	0.8343876146053895	-1.0200478420483303	-0.3494192353977597	-0.24982229440694287	-1.0144995696951151
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0000126.1
-0.8530841519127248	-0.6102129462643424	-0.8293057663129167	-0.3082871842179762	-1.2764851241261952	-2.8365012677171206	-0.5199417307727449	-0.8815073741305954
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0006410.0	OG0000092.1
-1.0300298988406835	-0.8180705623099331	0.007339046008161679	-1.1510416172076048	-1.8323851592448888	-1.9545570292388328	-1.1022174553385833	0.8123750005659496
OG0000764.26	OG0007070.2	OG0001163.24	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
-2.0180012584066676	-1.8206163456437023	-1.0938790470029003	-0.6009930135276029	-0.853866171106625	-1.0619024389259069	-1.7408179196618128
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0002127.0	OG0000175.4	OG0005354.1	OG0001941.0
-0.7211825969252785	-1.549620119928959	-0.17266872938773947	-2.985073455761897	-0.799872345726398	-0.9548366483967755	-1.3625288601152412	-0.488026018218199
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0000918.1
-0.11450372678347603	-1.3168874781868323	-0.6106534638375021	-0.781404798449143	-2.15200309344505	-0.5890077127791049	-0.8520421186128988	-1.9029286294560968
OG0000537.8	OG0000006.561	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
