OG0004324.0	OG0000177.8	OG0002346.16	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
3.186394	5.586796	1.538705	nan	1.0890799999999998	0.9340764000000001	nan	0.6155170999999999	nan	0.4374031
OG0004461.4	OG0000187.1	OG0000032.86	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
9.483362	nan	nan	13.84489	0.9975111999999999	2.171065	nan	nan	nan	2.004932
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
0.9729732	nan	0.9115979	4.832258	nan	nan	2.67782	nan	16.820079999999997	2.656494
OG0001018.1	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
1.282833	1.567615	10.8124	nan	0.8411978000000001	10.31177	4.3124769999999994	nan	2.301273	nan
OG0000392.72	OG0004437.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
nan	117.5564	nan	8.975028	nan	13.95474	0.8986194	26.1312	117.5382	nan
OG0005040.3	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
184.4317	2.140325	1.567615	nan	14.614820000000002	nan	nan	2.85122	2.748686	4.615461
OG0002621.3	OG0002078.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
9.677324	nan	14.02145	0.568462	nan	16.820079999999997	0.8220155	nan	3.264488
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0016053.0
nan	1.340962	nan	nan	1.2055209999999998	2.727039	nan	3.1513259999999996	nan	2.256722
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
2.724047	1.567615	0.46923980000000004	nan	13.84489	4.620405	21.49847	nan	nan	1.555233
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0001058.26	OG0000771.24
4.244219999999999	20.78047	nan	13.95474	2.3290669999999998	nan	1.320063	nan	nan
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0005912.2	OG0000771.24
0.4264567	2.471682	nan	2.6564200000000002	nan	3.078568	1.123966	2.682202	112.3498	nan
OG0001696.0	OG0005756.2	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
nan	13.98559	0.43598679999999995	2.150045	7.963371	1.404703	2.748686	nan	nan	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
