OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
-3.0150825945730797	-1.613520111403766	-3.1532860593285235	-2.2926519125167304	-1.7403358160513485	-1.6241542753321765	-1.6663472852345864	-1.8817731862070524	-3.8802321574527925	-3.0576919438438153
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
-2.335699214659963	-2.300448367476911	-2.107803289534515	-1.357714316940423	-1.1504009888485485	-2.9590374522215024	-3.1791879227712805	-1.3335160691625743	-1.5153978056277968	-1.917569900054051
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
-0.8104600556114966	-1.5576668766702486	-2.0180012584066676	-1.6201572725083175	-2.2775339755289092	-2.362157939675895	-1.5587290095614008	-1.6375581658743559	-1.4538340149720796	-1.7485535684414182
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
-1.9850734557618972	-2.084976336299282	-1.4568010998066674	-1.2085609741275583	nan	-1.357714316940423	-3.291945228671648	-1.6375581658743559	-2.11966711132536	-2.4900508536956893
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
-1.6157291074575852	-2.5088139035410735	-2.2789336312689503	-2.1694201465224596	-2.9072513144604764	-4.070239295408699	-1.5959688603781748	-1.6353155180717716	-1.5407782431771522	-2.039784866105864
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
-2.3978282092466205	-2.168771306825942	-1.92631684638356	-0.9436939396681234	-2.286304185156641	-1.9728459484962733	-1.6481455608676208	-2.550887680450584	-1.4663369871769107	-1.5728229453179
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
-2.444969198817792	-3.106560122683883	-1.190667880226499	-1.6743833251783957	-1.3025820060825506	-1.5587290095614008	-1.347949534477697	-2.3518106972818624	-3.180495303958067	-2.1228054528737617
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
-1.2012443860853812	-1.9094175236375577	-2.9948156241402772	-1.357714316940423	-1.9825056205407274	-2.745164117214237	-2.3090019204430923	-1.6684094241337628	-1.8839014477634204	-1.4564051357473986
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
-2.107803289534515	-1.6228207102633614	-2.7216583413783577	-2.1159100908664668	-1.7008725915876228	-2.2997378552532965	-2.3936525332754277	-1.5587290095614008	-2.5170484866326897	-1.4623560380701153
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
-1.2012443860853812	-2.3244550229164016	-1.5116906642966368	-1.5589415300067861	-1.3222888137393203	-2.043348544428939	-1.9825056205407274	-1.3061450976464348	-1.8820390472675834	-2.3422685431715378
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
-1.6201572725083175	-1.3025820060825506	-2.0603972796439565	-2.8150215403066694	-2.1577854460390564	-2.286304185156641	-1.347949534477697	-1.7034544918048826	-3.4266254735540556	-1.4831779765542241
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
