OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
0.26144	0.08914910000000001	0.115184	nan	nan	0.354378	0.0615641	0.260368	0.0	0.11748199999999999	0.18768800000000002	nan	0.0874539	0.177723	0.0	0.474091	0.487759	0.376265	0.244758	0.0554847	nan
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
0.060229099999999994	nan	0.18748299999999998	0.0107196	0.252552	0.0625616	nan	0.199169	0.0413685	0.145243	0.0	0.257188	0.0	nan	0.07236770000000001	0.24861100000000003	0.19001600000000002	0.261646	0.0	nan	0.0469281
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.180845	0.237906	0.208182	0.26361799999999996	0.0107196	nan	0.0	0.190156	0.18176900000000001	0.261025	0.21442199999999997	0.15015	0.0334072	0.0488283	0.077403	nan	nan	0.0	0.028892200000000003	0.154549	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
0.126914	nan	0.234949	0.0726538	0.164027	0.0481672	-0.0384098	0.18499000000000002	0.265319	0.0	nan	nan	0.104621	0.203155	0.136972	0.218263	nan	0.0459256	0.189913	0.362224	0.0834684
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
0.0956624	0.09357869999999999	0.25149499999999997	0.0	0.0726538	0.0	0.07351189999999999	nan	0.16384300000000002	0.23113899999999998	nan	0.26817199999999997	0.05498959999999999	0.06910039999999999	nan	0.501059	0.10030399999999999	0.0	0.149351	0.025353099999999996	0.22381199999999998
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
0.27124699999999996	0.159747	0.146931	0.07424689999999999	nan	nan	0.261662	0.190156	nan	0.21200500000000003	-0.0126031	0.0	0.26817199999999997	0.0	0.184866	0.18784700000000001	0.133691	nan	0.024041	0.09774989999999999	0.07268039999999999
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
